feature,raw,clean,keep,use,type,notes
ADDRESS,TRUE,FALSE,TRUE,FALSE,,
ADDRESS1,TRUE,TRUE,FALSE,FALSE,,
ADDRESS2,TRUE,TRUE,FALSE,FALSE,,
ADDRESS3,TRUE,FALSE,FALSE,FALSE,,
BUILDING_ADDRESS_ID,FALSE,TRUE,TRUE,FALSE,,
BUILDING_REFERENCE_NUMBER,TRUE,TRUE,TRUE,FALSE,,
BUILT_FORM,TRUE,TRUE,TRUE,TRUE,categorical,
CO2_EMISSIONS_CURRENT,TRUE,TRUE,TRUE,TRUE,numerical,
CO2_EMISSIONS_POTENTIAL,TRUE,FALSE,FALSE,FALSE,,
CO2_EMISS_CURR_PER_FLOOR_AREA,TRUE,TRUE,TRUE,TRUE,numerical,
CONSTITUENCY,TRUE,FALSE,FALSE,FALSE,,
CONSTITUENCY_LABEL,TRUE,FALSE,FALSE,FALSE,,
CONSTRUCTION_AGE_BAND,TRUE,TRUE,TRUE,TRUE,ordinal,
COUNTRY,TRUE,TRUE,TRUE,FALSE,,
COUNTY,TRUE,FALSE,FALSE,FALSE,,
CURRENT_ENERGY_EFFICIENCY,TRUE,TRUE,TRUE,TRUE,numerical,
CURRENT_ENERGY_RATING,TRUE,TRUE,TRUE,FALSE,ordinal,
CURR_ENERGY_RATING_NUM,FALSE,TRUE,FALSE,FALSE,,
DIFF_POT_ENERGY_RATING,FALSE,TRUE,FALSE,FALSE,,
ENERGY_CONSUMPTION_CURRENT,TRUE,TRUE,TRUE,TRUE,numerical,
ENERGY_CONSUMPTION_POTENTIAL,TRUE,FALSE,TRUE,TRUE,numerical,
ENERGY_RATING_CAT,FALSE,TRUE,FALSE,FALSE,,
ENERGY_TARIFF,TRUE,TRUE,TRUE,TRUE,categorical,
ENVIRONMENT_IMPACT_CURRENT,TRUE,FALSE,FALSE,FALSE,,
ENVIRONMENT_IMPACT_POTENTIAL,TRUE,FALSE,FALSE,FALSE,,
EXTENSION_COUNT,TRUE,FALSE,TRUE,TRUE,numerical,
FIXED_LIGHTING_OUTLETS_COUNT,TRUE,FALSE,FALSE,FALSE,,too many nans
FLAT_STOREY_COUNT,TRUE,FALSE,FALSE,FALSE,,too many nans
FLAT_TOP_STOREY,TRUE,FALSE,FALSE,FALSE,,too many nans
FLOOR_DESCRIPTION,TRUE,TRUE,TRUE,TRUE,categorical,needs cleaning
FLOOR_ENERGY_EFF,TRUE,TRUE,FALSE,FALSE,,
FLOOR_ENERGY_EFF_SCORE,FALSE,TRUE,FALSE,FALSE,,too many nans
FLOOR_ENV_EFF,TRUE,FALSE,FALSE,FALSE,,too many nans
FLOOR_HEIGHT,TRUE,FALSE,FALSE,FALSE,,needs cleaning
FLOOR_LEVEL,TRUE,TRUE,FALSE,FALSE,,too many nans
GLAZED_AREA,TRUE,TRUE,FALSE,FALSE,,too many nans
GLAZED_TYPE,TRUE,TRUE,TRUE,TRUE,categorical,
HEATING_COST_CURRENT,TRUE,FALSE,TRUE,TRUE,numerical,needs cleaning
HEATING_COST_POTENTIAL,TRUE,FALSE,FALSE,FALSE,,
HEATING_FUEL,FALSE,TRUE,TRUE,TRUE,categorical,
HEATING_SYSTEM,FALSE,TRUE,TRUE,TRUE,categorical,
HEAT_LOSS_CORRIDOR,TRUE,FALSE,FALSE,FALSE,,too many nans
HOTWATER_DESCRIPTION,TRUE,TRUE,TRUE,TRUE,categorical,needs cleaning
HOT_WATER_COST_CURRENT,TRUE,FALSE,TRUE,TRUE,numerical,needs cleaning
HOT_WATER_COST_POTENTIAL,TRUE,FALSE,FALSE,FALSE,,
HOT_WATER_ENERGY_EFF,TRUE,TRUE,FALSE,FALSE,,
HOT_WATER_ENERGY_EFF_SCORE,FALSE,TRUE,TRUE,TRUE,numerical,
HOT_WATER_ENV_EFF,TRUE,FALSE,FALSE,FALSE,,
HP_INSTALLED,FALSE,TRUE,TRUE,TRUE,categorical,
HP_TYPE,FALSE,TRUE,TRUE,TRUE,categorical,
INSPECTION_DATE,TRUE,TRUE,TRUE,TRUE,numerical,
LIGHTING_COST_CURRENT,TRUE,FALSE,TRUE,TRUE,numerical,needs cleaning
LIGHTING_COST_POTENTIAL,TRUE,FALSE,FALSE,FALSE,,
LIGHTING_DESCRIPTION,TRUE,TRUE,TRUE,TRUE,categorical,needs cleaning
LIGHTING_ENERGY_EFF,TRUE,TRUE,FALSE,FALSE,,
LIGHTING_ENERGY_EFF_SCORE,FALSE,TRUE,TRUE,TRUE,numerical,
LIGHTING_ENV_EFF,TRUE,FALSE,FALSE,FALSE,,
LMK_KEY,TRUE,TRUE,TRUE,FALSE,,
LOCAL_AUTHORITY,TRUE,TRUE,TRUE,FALSE,,
LOCAL_AUTHORITY_LABEL,TRUE,TRUE,FALSE,FALSE,,
LODGEMENT_DATE,TRUE,FALSE,FALSE,FALSE,,
LODGEMENT_DATETIME,TRUE,FALSE,FALSE,FALSE,,
LOW_ENERGY_FIXED_LIGHT_COUNT,TRUE,FALSE,FALSE,FALSE,,
LOW_ENERGY_LIGHTING,TRUE,TRUE,TRUE,TRUE,numerical,
MAINHEATCONT_DESCRIPTION,TRUE,FALSE,TRUE,TRUE,categorical,needs cleaning
MAINHEATC_ENERGY_EFF,TRUE,TRUE,FALSE,FALSE,,
MAINHEATC_ENERGY_EFF_SCORE,FALSE,TRUE,TRUE,TRUE,numerical,
MAINHEATC_ENV_EFF,TRUE,FALSE,FALSE,FALSE,,
MAINHEAT_DESCRIPTION,TRUE,TRUE,TRUE,TRUE,categorical,needs cleaning
MAINHEAT_ENERGY_EFF,TRUE,TRUE,FALSE,FALSE,,
MAINHEAT_ENERGY_EFF_SCORE,FALSE,TRUE,TRUE,TRUE,numerical,
MAINHEAT_ENV_EFF,TRUE,FALSE,FALSE,FALSE,,
MAINS_GAS_FLAG,TRUE,TRUE,TRUE,TRUE,categorical,
MAIN_FUEL,TRUE,FALSE,FALSE,FALSE,,
MAIN_HEATING_CONTROLS,TRUE,TRUE,FALSE,FALSE,,needs cleaning
MECHANICAL_VENTILATION,TRUE,FALSE,TRUE,TRUE,,needs cleaning
MULTI_GLAZE_PROPORTION,TRUE,TRUE,TRUE,TRUE,numerical,
NUMBER_HABITABLE_ROOMS,TRUE,TRUE,TRUE,TRUE,numerical,
NUMBER_HEATED_ROOMS,TRUE,FALSE,TRUE,TRUE,numerical,needs cleaning
NUMBER_OPEN_FIREPLACES,TRUE,FALSE,TRUE,TRUE,numerical,needs cleaning
N_SAME_UPRN_ENTRIES,FALSE,TRUE,TRUE,FALSE,,
OSG_REFERENCE_NUMBER,FALSE,TRUE,FALSE,FALSE,,
PHOTO_SUPPLY,TRUE,TRUE,FALSE,FALSE,,
POSTCODE,TRUE,TRUE,TRUE,TRUE,categorical,
POSTTOWN,TRUE,FALSE,FALSE,FALSE,,
POTENTIAL_ENERGY_EFFICIENCY,TRUE,FALSE,FALSE,FALSE,,
POTENTIAL_ENERGY_RATING,TRUE,TRUE,FALSE,FALSE,,
PROPERTY_TYPE,TRUE,TRUE,TRUE,TRUE,categorical,
ROOF_DESCRIPTION,TRUE,TRUE,TRUE,TRUE,categorical,needs cleaning
ROOF_ENERGY_EFF,TRUE,TRUE,FALSE,FALSE,,
ROOF_ENERGY_EFF_SCORE,FALSE,TRUE,TRUE,TRUE,numerical,
ROOF_ENV_EFF,TRUE,FALSE,FALSE,FALSE,,
SECONDHEAT_DESCRIPTION,TRUE,TRUE,TRUE,TRUE,categorical,needs cleaning
SHEATING_ENERGY_EFF,TRUE,FALSE,FALSE,FALSE,,too many nans
SHEATING_ENV_EFF,TRUE,FALSE,FALSE,FALSE,,too many nans
SOLAR_WATER_HEATING_FLAG,TRUE,TRUE,TRUE,TRUE,categorical,
TENURE,TRUE,TRUE,TRUE,TRUE,categorical,
TOTAL_FLOOR_AREA,TRUE,TRUE,TRUE,TRUE,numerical,
TRANSACTION_TYPE,TRUE,TRUE,TRUE,TRUE,categorical,
UNHEATED_CORRIDOR_LENGTH,TRUE,FALSE,FALSE,FALSE,,too many nans
UPRN,TRUE,TRUE,TRUE,FALSE,,
WALLS_DESCRIPTION,TRUE,TRUE,TRUE,TRUE,categorical,needs cleaning
WALLS_ENERGY_EFF,TRUE,TRUE,FALSE,FALSE,,
WALLS_ENERGY_EFF_SCORE,FALSE,TRUE,TRUE,TRUE,numerical,
WALLS_ENV_EFF,TRUE,FALSE,FALSE,FALSE,,
WINDOWS_DESCRIPTION,TRUE,TRUE,TRUE,TRUE,categorical,needs cleaning
WINDOWS_ENERGY_EFF,TRUE,TRUE,FALSE,FALSE,,
WINDOWS_ENERGY_EFF_SCORE,FALSE,TRUE,TRUE,TRUE,numerical,
WINDOWS_ENV_EFF,TRUE,FALSE,FALSE,FALSE,,
WIND_TURBINE_COUNT,TRUE,FALSE,FALSE,FALSE,,
